2018-10-29 16:49:16.431 | INFO  | 16116 | --- [           main] | o.springframework.context.support.DefaultLifecycleProcessor  | Starting beans in phase 0
2018-10-29 16:49:16.452 | INFO  | 16116 | --- [           main] | o.springframework.context.support.DefaultLifecycleProcessor  | Starting beans in phase 2147483647
2018-10-29 16:49:16.453 | INFO  | 16116 | --- [           main] | s.d.spring.web.plugins.DocumentationPluginsBootstrapper      | Context refreshed
2018-10-29 16:49:16.497 | INFO  | 16116 | --- [           main] | s.d.spring.web.plugins.DocumentationPluginsBootstrapper      | Found 1 custom documentation plugin(s)
2018-10-29 16:49:16.545 | INFO  | 16116 | --- [           main] | s.d.spring.web.scanners.ApiListingReferenceScanner           | Scanning for api listing references
2018-10-29 16:49:17.064 | INFO  | 16116 | --- [           main] | com.beisun.vmscloud.VmsBillcheckServiceApplicationTests      | Started VmsBillcheckServiceApplicationTests in 11.555 seconds (JVM running for 13.023)
2018-10-29 16:49:17.264 | INFO  | 16116 | --- [       Thread-5] | o.s.web.context.support.GenericWebApplicationContext         | Closing org.springframework.web.context.support.GenericWebApplicationContext@2f94c4db: startup date [Mon Oct 29 16:49:09 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@1bd39d3c
2018-10-29 16:49:17.284 | INFO  | 16116 | --- [       Thread-5] | o.springframework.cloud.netflix.eureka.InstanceInfoFactory   | Setting initial instance status as: STARTING
2018-10-29 16:49:17.290 | INFO  | 16116 | --- [       Thread-5] | o.s.c.netflix.eureka.serviceregistry.EurekaServiceRegistry   | Unregistering application vms-billcheck-service with eureka with status DOWN
2018-10-29 16:49:17.294 | INFO  | 16116 | --- [       Thread-5] | o.springframework.context.support.DefaultLifecycleProcessor  | Stopping beans in phase 2147483647
2018-10-29 16:49:17.298 | INFO  | 16116 | --- [       Thread-5] | o.springframework.context.support.DefaultLifecycleProcessor  | Stopping beans in phase 0
2018-10-30 10:42:27.714 | INFO  | 23440 | --- [           main] | com.beisun.vmscloud.VmsBillcheckServiceApplicationTests      | The following profiles are active: dev
2018-10-30 10:42:27.733 | INFO  | 23440 | --- [           main] | o.s.web.context.support.GenericWebApplicationContext         | Refreshing org.springframework.web.context.support.GenericWebApplicationContext@3954d008: startup date [Tue Oct 30 10:42:27 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@59cba5a
